GHT;Code;Groupe Plannification;Nb séjour / Séances;Nb de jours;/;/2;/ ;Transferts SSR (Nombre de séjours chainés et tranférés vers un établissement SSR) ;Pourcentage 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X03;Neurologie ;2828;17255;;;;394;0,139321075
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X08;Pneumologie ;4237;31189;;;;391;0,092282275
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";637;4825;;;;272;0,42700157
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X07;Affections Cardio-vasculaires ;3266;18585;;;;196;0,060012247
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X06;Rhumatologie ;1279;9071;;;;140;0,109460516
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";784;3208;;;;128;0,163265306
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X02;Hépato-Gastro-Entérologie ;3457;16128;;;;107;0,030951692
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X12;Uro-Néphrologie médicale (hors Séances);1377;6840;;;;96;0,069716776
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X20;Psychiatrie ;1775;9080;;;;94;0,052957746
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";964;4208;;;;82;0,085062241
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X16;Affections et traumatismes de la peau, gelures;1255;5508;;;;63 à 83;5% - 7% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X21;Effets nocifs, alcool, toxicologie, allergies;1328;5933;;;;49 à 69;3% - 5% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X14;"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID";1007;5957;;;;49 à 59 ;5% - 6% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C07;"Chir. Viscérale autre : rate, grêle, colon,
 proctologie, hernies";688;2300;;;;38;0,055232558
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X18;"Suivi thérap. d'affections connues, Allergologie,
 Rééducation, Convalescence";259;644;;;;32 à 42 ;12% - 16% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C06;"Chir. Digestive majeure : oesophage, 
estomac, grêle, côlon, rectum";196;2557;;;;32;0,163265306
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X19;Fièvre, Infection, Septicémie, VIH;450;2710;;;;27 à 47;7% - 10% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C14;Chirurgie vasculaire ;305;1997;;;;27;0,08852459
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C19;Chirurgie Urologique ;411;1915;;;;20;0,0486618
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X15;"Diabète, Maladies métaboliques,
 Endocrinologie (hors complications)";792;4600;;;;16 à 36;2% - 4%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C25;Chirurgie inter-spécialités;202;1611;;;;13;0,064356436
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X24;"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux";636;1683;;;;11 à 51;2 - 7%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X22;Douleur et soins palliatifs ;477;5189;;;;0 à 50 ;0% - 10%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X04;Commotions cérébrales, Traumatismes crâniens;162;1052;;;;0 à 30 ;0% - 19%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X13;Appareil génital masculin ;185;1455;;;;0 à 30 ;0% - 17% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X11;Gynécologie, Sénologie (hors Obstétrique);343;2018;;;;0 à 30 ;0% - 9%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;K12;Explorations nocturnes, séjours de moins de 2 jours;392;392;;;;0 à 30 ;0% - 8%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;O03;IVG;488;2586;;;;0 à 30 ;0% - 6% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X09;ORL, Stomato;603;1520;;;;0 à 30 ;0% - 5%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;K02;"Endoscopies digestives et biliaires 
avec ou sans anesthésie";1161;35;;;;0 à 30 ;0% - 3%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X17;Brûlures;180;649;;;;0 à 20 ;0% - 87%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;K08;"Traumatologie avec acte classant non opératoire 
ou anesthésie";276;914;;;;0 à 20 ;0% - 32% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;K06;Mise ne place d'accès vasculaire ;314;889;;;;0 à 20 ;0% - 13% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X10 ;Ophtalmologie ;183;556;;;;0 à 20 ;0%-11%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;K10;"Aff. génito-urinaires avec Acte classant non opératoire 
et endoscopies";327;1124;;;;0 à 20 ;0% - 9% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C13;Stimulateurs, Défibrillateurs cardiaques;333;1722;;;;0 à 20 ;0% - 7% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;O02 ;Césarienne ;416;2468;;;;0 à 20 ;0% - 5% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C17;Chirurgie gynécologique ;361;510;;;;0 à 20 ;0% - 5% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;O04;Obstétrique autre ;407;966;;;;0 à 20 ;0% - 3%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X23;Chimithérapie (hors séances) ;#REF!;#REF!;;;;0 à 20 ;0% - 3%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;O01;Accouchement par voie basse ;446;2245;;;;0 à 20 ;0% - 2%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;N02;"Aff. médicales des nouveaunés, prématurés et 
de la période périnatale";445;2321;;;;0 à 20 ;0% - 1%
GHT SÂONE-ET-LOIRE BRESSE MORVAN;X25;Traumatismes multipes graves ;154;478;;;;0 à 10;0% - 71% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;K15;"Autres séj. sans acte, avec anesthésie, 
en ambulatoire (Aff. myéloP., peau, sein...)";137;11;;;;0 à 10;0% - 59% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;K09;"ORL Stomato avec Acte classant non opératoire 
et endoscopies";131;335;;;;0 à 10;0% - 56% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C23;Parages de plaies, Greffes de peau, des Tissus S/C;108;731;;;;0 à 10;0% - 45% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;N03;Mort-nés, décès et transferts précoces de nouveau-nés;107;573;;;;0 à 10;0% - 36% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;K07;Endoscopies bronchiques, avec ou sans anesthésie;107;573;;;;0 à 10;0% - 27% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;K13;Dialyse (hors séance) ;105;40;;;;0 à 10;0% - 18% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C22;"Chirurgie de la Thyroide, Parathyroide, 
du Tractus Thyréoglosse, endocrinologie";59;379;;;;0 à 10;0% - 18% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C21;"Chir. pour Aff. des Org. Hématopoiétiques,
 Lymphomes, Leucémies, Tumeurs SID";57;209;;;;0 à 10;0% - 17% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C10 ;Arthroscopies, Biopsies ostéo-articulaires;57;691;;;;0 à 10;0% - 10% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C18 ;Chirurgie su sein ;57;209;;;;0 à 10;0% - 8% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C15;Chirurgie ORL, Stomato;57;691;;;;0 à 10;0% - 6% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C20;Chirurgie de l'appareil génital masculin ;107;573;;;;0 à 10;0% - 4% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C08;Chir. hépato-biliaire et pancréatique;105;40;;;;0 à 10;0% - 4% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;C16;Chirurgie Ophtalmologique et greffe de cornée;28;11;;;;0 à 10;0% - 5% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;K05 ;"Cathétérismes vasculaires diagnostiques
 et interventionnels";571;1577;;;;0 à 10;0% - 2% 
GHT SÂONE-ET-LOIRE BRESSE MORVAN;S01;Dialyse ;13380;0;;;;NA;/
GHT SÂONE-ET-LOIRE BRESSE MORVAN;S02;Chimiothérapie pour tumeurs;9646;0;;;;NA;/
GHT SÂONE-ET-LOIRE BRESSE MORVAN;S03;Chimiothérapie pour aff. Non tumorale;2314;0;;;;NA;/
GHT SÂONE-ET-LOIRE BRESSE MORVAN;S05;Transfusions;1389;0;;;;NA;/
GHT Sud Yonne Haut-Nivernais;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";494;4894;;;;244;0,493927126
GHT Sud Yonne Haut-Nivernais;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";431;2101;;;;86 à 96;20%-23%
GHT Sud Yonne Haut-Nivernais;X06;Rhumatologie ;767;5752;;;;140;0,182529335
GHT Sud Yonne Haut-Nivernais;X03;Neurologie ;1356;9900;;;;203;0,149705015
GHT Sud Yonne Haut-Nivernais;X24;"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux";707;3075;;;;88 à 98;12%-14%
GHT Sud Yonne Haut-Nivernais;C06;"Chir. Digestive majeure : oesophage, 
estomac, grêle, côlon, rectum";175;2126;;;;20;0,114285714
GHT Sud Yonne Haut-Nivernais;X20;Psychiatrie ;492;3193;;;;49 à 69;10%-14% 
GHT Sud Yonne Haut-Nivernais;X04;Commotions cérébrales, Traumatismes crâniens;209;784;;;;20 à 30;10%-14%
GHT Sud Yonne Haut-Nivernais;C25;Chirurgie inter-spécialités;120;932;;;;12;0,1
GHT Sud Yonne Haut-Nivernais;X19;Fièvre, Infection, Septicémie, VIH;235;1725;;;;20 à 50;9%-21%
GHT Sud Yonne Haut-Nivernais;X07;Affections Cardio-vasculaires ;2167;12945;;;;185;0,085371481
GHT Sud Yonne Haut-Nivernais;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";739;2718;;;;64;0,086603518
GHT Sud Yonne Haut-Nivernais;X08;Pneumologie ;2536;20777;;;;215;0,08477918
GHT Sud Yonne Haut-Nivernais;C14;Chirurgie vasculaire ;201;857;;;;16;0,07960199
GHT Sud Yonne Haut-Nivernais;X16;Affections et traumatismes de la peau, gelures;701;3547;;;;41 à 61;6%-9% 
GHT Sud Yonne Haut-Nivernais;X18;"Suivi thérap. d'affections connues, Allergologie,
 Rééducation, Convalescence";239;566;;;;13 à 23 ;5%-10%
GHT Sud Yonne Haut-Nivernais;X15;"Diabète, Maladies métaboliques,
 Endocrinologie (hors complications)";792;4273;;;;41 à 61;5%-8%
GHT Sud Yonne Haut-Nivernais;X14;"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID";710;4904;;;;36 à 56;5%-8%
GHT Sud Yonne Haut-Nivernais;X21;Effets nocifs, alcool, toxicologie, allergies;1456;5855;;;;68 à 108;5%-7% 
GHT Sud Yonne Haut-Nivernais;X12;Uro-Néphrologie médicale (hors Séances);923;5838;;;;46 à 66;5%-7%
GHT Sud Yonne Haut-Nivernais;X23;Chimithérapie (hors séances) ;828;2593;;;;41;0,049516908
GHT Sud Yonne Haut-Nivernais;X02;Hépato-Gastro-Entérologie ;2548;12326;;;;94 à 114;3%-5% 
GHT Sud Yonne Haut-Nivernais;C13;Stimulateurs, Défibrillateurs cardiaques;384;1223;;;;13;0,033854167
GHT Sud Yonne Haut-Nivernais;K05 ;"Cathétérismes vasculaires diagnostiques
 et interventionnels";1713;4868;;;;18;0,010507881
GHT Sud Yonne Haut-Nivernais;X09;ORL, Stomato;332;1256;;;;0 à 40 ;0%-12% 
GHT Sud Yonne Haut-Nivernais;X22;Douleur et soins palliatifs ;164;3055;;;;0 à 30 ;0%-18%
GHT Sud Yonne Haut-Nivernais;X10 ;Ophtalmologie ;57;158;;;;0 à 20 ;0%-35%
GHT Sud Yonne Haut-Nivernais;X13;Appareil génital masculin ;75;408;;;;0 à 20 ;0%-27% 
GHT Sud Yonne Haut-Nivernais;K12;Explorations nocturnes, séjours de moins de 2 jours;336;336;;;;0 à 20 ;0%-6%
GHT Sud Yonne Haut-Nivernais;O03;IVG;374;29;;;;0 à 20 ;0%-5%
GHT Sud Yonne Haut-Nivernais;X26;Chirurgie esthétique et de confort ;14;0;;;;0 à 10;0%-71%
GHT Sud Yonne Haut-Nivernais;C23;Parages de plaies, Greffes de peau, des Tissus S/C;17;43;;;;0 à 10;0%-59%
GHT Sud Yonne Haut-Nivernais;C15;Chirurgie ORL, Stomato;17;20;;;;0 à 10;0%-59%
GHT Sud Yonne Haut-Nivernais;C22;"Chirurgie de la Thyroide, Parathyroide, 
du Tractus Thyréoglosse, endocrinologie";21;77;;;;0 à 10;0%-48%
GHT Sud Yonne Haut-Nivernais;K15;"Autres séj. sans acte, avec anesthésie, 
en ambulatoire (Aff. myéloP., peau, sein...)";24;0;;;;0 à 10;0%-42%
GHT Sud Yonne Haut-Nivernais;C21;"Chir. pour Aff. des Org. Hématopoiétiques,
 Lymphomes, Leucémies, Tumeurs SID";36;150;;;;0 à 10;0%-28%
GHT Sud Yonne Haut-Nivernais;N03;Mort-nés, décès et transferts précoces de nouveau-nés;43;21;;;;0 à 10;0%-23%
GHT Sud Yonne Haut-Nivernais;K13;Dialyse (hors séance) ;50;570;;;;0 à 10;0%-20%
GHT Sud Yonne Haut-Nivernais;K04;"Aff. Cardio-vasculaire avec Acte classant 
non opératoire, ou anesthésie";50;0;;;;0 à 10;0%-20%
GHT Sud Yonne Haut-Nivernais;X11;Gynécologie, Sénologie (hors Obstétrique);76;336;;;;0 à 10;0%-13%
GHT Sud Yonne Haut-Nivernais;C10 ;Arthroscopies, Biopsies ostéo-articulaires;111;29;;;;0 à 10;0%-9%
GHT Sud Yonne Haut-Nivernais;K10;"Aff. génito-urinaires avec Acte classant non opératoire 
et endoscopies";126;8;;;;0 à 10;0%-8%
GHT Sud Yonne Haut-Nivernais;C18 ;Chirurgie su sein ;149;197;;;;0 à 10;0%-7%
GHT Sud Yonne Haut-Nivernais;O02 ;Césarienne ;159;934;;;;0 à 10;0%-6%
GHT Sud Yonne Haut-Nivernais;C08;Chir. hépato-biliaire et pancréatique;188;362;;;;0 à 10;0%-5%
GHT Sud Yonne Haut-Nivernais;K06;Mise en place d'accès vasculaire ;235;11;;;;0 à 10;0%-4%
GHT Sud Yonne Haut-Nivernais;C20;Chirurgie de l'appareil génital masculin ;245;670;;;;0 à 10;0%-4%
GHT Sud Yonne Haut-Nivernais;C19;Chirurgie Urologique ;481;1682;;;;0 à 10;0%-2%
GHT Sud Yonne Haut-Nivernais;C17;Chirurgie gynécologique ;558;824;;;;0 à 10;0%-2% 
GHT Sud Yonne Haut-Nivernais;O04;Obstétrique autre ;579;1009;;;;0 à 10;0%-2% 
GHT Sud Yonne Haut-Nivernais;K02;"Endoscopies digestives et biliaires 
avec ou sans anesthésie";622;38;;;;0 à 10;0%-2% 
GHT Sud Yonne Haut-Nivernais;C07;"Chir. Viscérale autre : rate, grêle, colon,
 proctologie, hernies";669;1641;;;;0 à 10;0%-1%
GHT Sud Yonne Haut-Nivernais;O01;Accouchement par voie basse ;1674;6710;;;;0 à 10;0%-1%
GHT Sud Yonne Haut-Nivernais;N02;"Aff. médicales des nouveaunés, prématurés et 
de la période périnatale";1851;8277;;;;0 à 10;0%-1%
GHT Sud Yonne Haut-Nivernais;S01;Dialyse ;7642;0;;;;NA;/
GHT Sud Yonne Haut-Nivernais;S02;Chimiothérapie pour tumeurs;6557;0;;;;NA;/
GHT Sud Yonne Haut-Nivernais;S03;Chimiothérapie pour aff. Non tumorale;1046;#REF!;;;;NA;/
GHT Sud Yonne Haut-Nivernais;S05;Transfusions;575;0;;;;NA;/
GHT Sud Yonne Haut-Nivernais;S06;Aphérèse ;212;0;;;;NA;
GHT CÔTE d'OR - HAUTE MARNE ;X08;Pneumologie ;7971;52853;;;;614 à 624;0,078283779
GHT CÔTE d'OR - HAUTE MARNE ;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";1108;7921;;;;525;0,473826715
GHT CÔTE d'OR - HAUTE MARNE ;X03;Neurologie ;5929;27571;;;;464 à 474;0,079946028
GHT CÔTE d'OR - HAUTE MARNE ;X07;Affections Cardio-vasculaires ;5412;28675;;;;408 à 418 ;0,077235772
GHT CÔTE d'OR - HAUTE MARNE ;X06;Rhumatologie ;3296;15664;;;;282 à 292 ;0,088592233
GHT CÔTE d'OR - HAUTE MARNE ;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";2248;8715;;;;205;0,091192171
GHT CÔTE d'OR - HAUTE MARNE ;X02;Hépato-Gastro-Entérologie ;7082;28034;;;;182 à 232;2%-3%
GHT CÔTE d'OR - HAUTE MARNE ;X20;Psychiatrie ;2110;8933;;;;173 à 203 ;8%-10%
GHT CÔTE d'OR - HAUTE MARNE ;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";#REF!;#REF!;;;;153 à 163;14%-15%
GHT CÔTE d'OR - HAUTE MARNE ;C02;Chirurgie du rachis, Neuro-chirurgie;#REF!;#REF!;;;;#REF!;#REF!
GHT CÔTE d'OR - HAUTE MARNE ;X12;Uro-Néphrologie médicale (hors Séances);2887;11402;;;;137 à 177;5%-6%
GHT CÔTE d'OR - HAUTE MARNE ;C04;"Chir. cardio-thoracique (hors transplant. d'organe), 
Pontages aorto-coronariens";812;9913;;;;124;0,15270936
GHT CÔTE d'OR - HAUTE MARNE ;X24;"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux";3962;6622;;;;99 à 139;2%-4%
GHT CÔTE d'OR - HAUTE MARNE ;X16;Affections et traumatismes de la peau, gelures;3473;8664;;;;92 à 122;3%-4%
GHT CÔTE d'OR - HAUTE MARNE ;X21;Effets nocifs, alcool, toxicologie, allergies;3730;11075;;;;91 à 141 ;2%-4%
GHT CÔTE d'OR - HAUTE MARNE ;K05 ;"Cathétérismes vasculaires diagnostiques
 et interventionnels";4184;13988;;;;81 à 91 ;0,021749522
GHT CÔTE d'OR - HAUTE MARNE ;X14;"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID";3704;14028;;;;75 à 135 ;2%-4%
GHT CÔTE d'OR - HAUTE MARNE ;C06;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;599;7538;;;;71 à 81 ;12%-14%
GHT CÔTE d'OR - HAUTE MARNE ;C14;Chirurgie vasculaire ;493;4558;;;;54;0,109533469
GHT CÔTE d'OR - HAUTE MARNE ;X15;"Diabète, Maladies métaboliques,
 Endocrinologie (hors complications)";2767;10028;;;;50 à 110 ;2%-4%
GHT CÔTE d'OR - HAUTE MARNE ;C05;"Chir. majeure sur le thorax, l'app. respiratoire,
interventions sous thoracoscopie";582;5651;;;;41;0,070446735
GHT CÔTE d'OR - HAUTE MARNE ;C12;Traumatismes multiples graves;97;1761;;;;37;0,381443299
GHT CÔTE d'OR - HAUTE MARNE ;C07;"Chir. Viscérale autre : rate, grêle, colon,
 proctologie, hernies";1308;4479;;;;35 à 45 ;0,03440367
GHT CÔTE d'OR - HAUTE MARNE ;C19;Chirurgie Urologique ;1024;4116;;;;30 à 40 ;3%-4%
GHT CÔTE d'OR - HAUTE MARNE ;C25;Chirurgie inter-spécialités;863;3381;;;;28 à 38 ;3%-4%
GHT CÔTE d'OR - HAUTE MARNE ;C17;Chirurgie gynécologique ;1544;2448;;;;24 à 44;2%-3%
GHT CÔTE d'OR - HAUTE MARNE ;X23;Chimithérapie (hors séances) ;1176;6033;;;;19;0,016156463
GHT CÔTE d'OR - HAUTE MARNE ;X19;Fièvre, Infection, Septicémie, VIH;937;3879;;;;18 à 78;2%-8%
GHT CÔTE d'OR - HAUTE MARNE ;C13;Stimulateurs, Défibrillateurs cardiaques;453;1601;;;;16 à 36;3%-8%
GHT CÔTE d'OR - HAUTE MARNE ;X04;Commotions cérébrales, Traumatismes crâniens;1174;2657;;;;14 à 74;1%-6%
GHT CÔTE d'OR - HAUTE MARNE ;C08;Chir. hépato-biliaire et pancréatique;521;3302;;;;14 à 24 ;3%-5%
GHT CÔTE d'OR - HAUTE MARNE ;X18;"Suivi thérap. d'affections connues, Allergologie,
 Rééducation, Convalescence";1586;1144;;;;11 à 71;1%-4%
GHT CÔTE d'OR - HAUTE MARNE ;C23;Parages de plaies, Greffes de peau, des Tissus S/C;397;1191;;;;11 à 21 ;3%-5%
GHT CÔTE d'OR - HAUTE MARNE ;X22;Douleur et soins palliatifs ;449;2612;;;;0 à 70 ;0%-16%
GHT CÔTE d'OR - HAUTE MARNE ;X13;Appareil génital masculin ;389;1800;;;;0 à 60 ;0%-15%
GHT CÔTE d'OR - HAUTE MARNE ;X09;ORL, Stomato;1602;3738;;;;0 à 60 ;0%-4%
GHT CÔTE d'OR - HAUTE MARNE ;X11;Gynécologie, Sénologie (hors Obstétrique);278;951;;;;0 à 40;0%-14%
GHT CÔTE d'OR - HAUTE MARNE ;O03;IVG;1019;30;;;;0 à 40 ;0%-4%
GHT CÔTE d'OR - HAUTE MARNE ;K10;"Aff. génito-urinaires avec Acte classant non opératoire 
et endoscopies";395;56;;;;0 à 30 ;0%-8%
GHT CÔTE d'OR - HAUTE MARNE ;K12;Explorations nocturnes, séjours de moins de 2 jours;578;562;;;;0 à 30 ;0%-5%
GHT CÔTE d'OR - HAUTE MARNE ;O02 ;Césarienne ;660;4707;;;;0 à 30 ;0%-5% 
GHT CÔTE d'OR - HAUTE MARNE ;K09;"ORL Stomato avec Acte classant non opératoire 
et endoscopies";741;23;;;;0 à 30 ;0%-4% 
GHT CÔTE d'OR - HAUTE MARNE ;X10 ;Ophtalmologie ;963;1802;;;;0 à 30 ;0%-3%
GHT CÔTE d'OR - HAUTE MARNE ;O04;Obstétrique autre ;1913;3974;;;;0 à 30 ;0%-2%
GHT CÔTE d'OR - HAUTE MARNE ;K02;"Endoscopies digestives et biliaires 
avec ou sans anesthésie";1846;285;;;;0 à 30 ;0%-2%
GHT CÔTE d'OR - HAUTE MARNE ;O01;Accouchement par voie basse ;3504;14621;;;;0 à 30 ;0%-1%
GHT CÔTE d'OR - HAUTE MARNE ;N02;"Aff. médicales des nouveaunés, prématurés et 
de la période périnatale";4304;23944;;;;0 à 30 ;0%-1%
GHT CÔTE d'OR - HAUTE MARNE ;K04;Aff. Cardio-vasculaire avec Acte classant non opératoire, ou anesthésie;41;0;;;;0 à 20 ;0%-49%
GHT CÔTE d'OR - HAUTE MARNE ;K08;"Traumatologie avec acte classant non opératoire 
ou anesthésie";106;33;;;;0 à 20 ;0%-19%
GHT CÔTE d'OR - HAUTE MARNE ;N03;Mort-nés, décès et transferts précoces de nouveau-nés;105;147;;;;0 à 20 ;0%-19%
GHT CÔTE d'OR - HAUTE MARNE ;C20;Chirurgie de l'appareil génital masculin ;554;1041;;;;0 à 20 ;0%-4%
GHT CÔTE d'OR - HAUTE MARNE ;C15;Chirurgie ORL, Stomato;1004;3542;;;;0 à 20 ;0%-2%
GHT CÔTE d'OR - HAUTE MARNE ;C16;Chirurgie Ophtalmologique et greffe de cornée;3461;618;;;;0 à 20 ;0%-1%
GHT CÔTE d'OR - HAUTE MARNE ;X17;Brûlures;20;56;;;;0 à 10;0%-50%
GHT CÔTE d'OR - HAUTE MARNE ;K14;Radiothérapie (Hors séances) ;28;55;;;;0 à 10;0%_36%
