GHT;Code;Groupe Plannification;Nb séjour / Séances;Nb de jours;/;/2;/ ;Transferts SSR (Nombre de séjours chainés et tranférés vers un établissement SSR) ;Pourcentage 
GHT CÔTE d'OR - HAUTE MARNE ;C01;Transplant. d'organes (hors greffes de moelle & cornée);42;947;;;;0 à 10;0%-24%
GHT CÔTE d'OR - HAUTE MARNE ;X26;Chirurgie esthétique et de confort;43;19;;;;0 à 10;0%-23%
GHT CÔTE d'OR - HAUTE MARNE ;N01;Chirurgie des nouveau-nés, prématurés et de la période périnatale;45;2108;;;;0 à 10;0%-22%
GHT CÔTE d'OR - HAUTE MARNE ;K13;Dialyse (hors séance) ;45;497;;;;0 à 10;0%-22%
GHT CÔTE d'OR - HAUTE MARNE ;X25;Traumatismes multipes graves ;52;396;;;;0 à 10;0%-19%
GHT CÔTE d'OR - HAUTE MARNE ;C03;Neurostimulateurs;61;157;;;;0 à 10;0%-16%
GHT CÔTE d'OR - HAUTE MARNE ;K07;Endoscopies bronchiques, avec ou sans anesthésie;70;0;;;;0 à 10;0%-14%
GHT CÔTE d'OR - HAUTE MARNE ;K01;Hépato-Gastro-Entérologie, sans acte opératoire, avec anesthésie;80;118;;;;0 à 10;0%-13%
GHT CÔTE d'OR - HAUTE MARNE ;X01;Greffe de moelle, Auto et Allogreffes de cellules souches;94;1696;;;;0 à 10;0%-11%
GHT CÔTE d'OR - HAUTE MARNE ;C10 ;Arthroscopies, Biopsies ostéo-articulaires;107;77;;;;0 à 10;0%-9%
GHT CÔTE d'OR - HAUTE MARNE ;C18 ;Chirurgie su sein ;114;80;;;;0 à 10;0%-9%
GHT CÔTE d'OR - HAUTE MARNE ;K15;"Autres séj. sans acte, avec anesthésie, 
en ambulatoire (Aff. myéloP., peau, sein...)";167;0;;;;0 à 10;0%-6%
GHT CÔTE d'OR - HAUTE MARNE ;C21;"Chir. pour Aff. des Org. Hématopoiétiques,
 Lymphomes, Leucémies, Tumeurs SID";163;1426;;;;0 à 10;0%-6%
GHT CÔTE d'OR - HAUTE MARNE ;C22;"Chirurgie de la Thyroide, Parathyroide, 
du Tractus Thyréoglosse, endocrinologie";344;803;;;;0 à 10;0%-3%
GHT CÔTE d'OR - HAUTE MARNE ;K06;Mise ne place d'accès vasculaire ;483;26;;;;0 à 10;0%-2%
GHT CÔTE d'OR - HAUTE MARNE ;K03;"Neurologie médicale avec Acte classant 
non opératoire, ou anesthésie";1024;0;;;;0 à 10;0%-1%
GHT CÔTE d'OR - HAUTE MARNE ;S01;Dialyse ;16268;0;;;;NA;/
GHT CÔTE d'OR - HAUTE MARNE ;S02;Chimiothérapie pour tumeurs;18615;0;;;;NA;/
GHT CÔTE d'OR - HAUTE MARNE ;S03;Chimiothérapie pour aff. Non tumorale;6171;0;;;;NA;/
GHT CÔTE d'OR - HAUTE MARNE ;S05;Transfusions;3636;0;;;;NA;/
GHT CÔTE d'OR - HAUTE MARNE ;S06;Aphérèse ;164;0;;;;NA;/
GHT Sud Côte-d'Or;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";1025;7947;;;;599;0,584390244
GHT Sud Côte-d'Or;X08;Pneumologie ;4221;26815;;;;343 à 373;8%-9%
GHT Sud Côte-d'Or;X03;Neurologie ;2057;10598;;;;232 à 262;11%-13%
GHT Sud Côte-d'Or;X06;Rhumatologie ;1165;7751;;;;197 à 217 ;17%-19%
GHT Sud Côte-d'Or;X07;Affections Cardio-vasculaires ;3304;14979;;;;191 à 221;6%-7%
GHT Sud Côte-d'Or;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";596;3244;;;;172 à 182 ;29%-31%
GHT Sud Côte-d'Or;X02;Hépato-Gastro-Entérologie ;3008;14710;;;;141 à 171;5%-6%
GHT Sud Côte-d'Or;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";1400;2911;;;;104;0,074285714
GHT Sud Côte-d'Or;X24;"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux";1138;4115;;;;101 à 121 ;9%-11%
GHT Sud Côte-d'Or;X20;Psychiatrie ;1210;6730;;;;95 à 125;8%-10%
GHT Sud Côte-d'Or;X16;Affections et traumatismes de la peau, gelures;1164;4836;;;;87 à 117 ;7%-10%
GHT Sud Côte-d'Or;X12;Uro-Néphrologie médicale (hors Séances);1363;6362;;;;87 à 117;6%-9%
GHT Sud Côte-d'Or;C06;"Chir. Digestive majeure : oesophage, 
estomac, grêle, côlon, rectum";#REF!;#REF!;;;;#REF!;#REF!
GHT Sud Côte-d'Or;K05 ;"Cathétérismes vasculaires diagnostiques
 et interventionnels";1962;5953;;;;49 à 59 ;2%-3%
GHT Sud Côte-d'Or;X14;"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID";845;4317;;;;45 à 75 ;5%-9%
GHT Sud Côte-d'Or;C07;"Chir. Viscérale autre : rate, grêle, colon,
 proctologie, hernies";938;2796;;;;39;0,041577825
GHT Sud Côte-d'Or;X15;"Diabète, Maladies métaboliques,
 Endocrinologie (hors complications)";870;4344;;;;33 à 63 ;4%-7%
GHT Sud Côte-d'Or;X04;Commotions cérébrales, Traumatismes crâniens;255;1260;;;;33;0,129411765
GHT Sud Côte-d'Or;X21;Effets nocifs, alcool, toxicologie, allergies;1122;3918;;;;33;0,029411765
GHT Sud Côte-d'Or;X19;Fièvre, Infection, Septicémie, VIH;408;2377;;;;30 à 40 ;7%-10%
GHT Sud Côte-d'Or;C25;Chirurgie inter-spécialités;370;1693;;;;30;0,081081081
GHT Sud Côte-d'Or;C02;Chirurgie du rachis, Neuro-chirurgie;68;525;;;;24;0,352941176
GHT Sud Côte-d'Or;C08;Chir. hépato-biliaire et pancréatique;362;1845;;;;23;0,063535912
GHT Sud Côte-d'Or;C14;Chirurgie vasculaire ;220;1228;;;;20 à 30 ;9%-14%
GHT Sud Côte-d'Or;X22;Douleur et soins palliatifs ;653;5550;;;;18 à 58;3%-9%
GHT Sud Côte-d'Or;X09;ORL, Stomato;688;1793;;;;12 à 22 ;2%-3%
GHT Sud Côte-d'Or;X18;"Suivi thérap. d'affections connues, Allergologie,
 Rééducation, Convalescence";243;709;;;;11 à 31 ;5%-13%
GHT Sud Côte-d'Or;K07;Endoscopies bronchiques, avec ou sans anesthésie;36;0;;;;0 à 20 ;0%-56%
GHT Sud Côte-d'Or;C21;"Chir. pour Aff. des Org. Hématopoiétiques,
 Lymphomes, Leucémies, Tumeurs SID";44;173;;;;0 à 20 ;0%-4(%
GHT Sud Côte-d'Or;N03;Mort-nés, décès et transferts précoces de nouveau-nés;50;26;;;;0 à 20 ;0%-40%
GHT Sud Côte-d'Or;K08;"Traumatologie avec acte classant non opératoire 
ou anesthésie";62;6;;;;0 à 20 ;0%-32%
GHT Sud Côte-d'Or;K15;"Autres séj. sans acte, avec anesthésie, 
en ambulatoire (Aff. myéloP., peau, sein...)";66;0;;;;0 à 20 ;0%-30%
GHT Sud Côte-d'Or;C23;Parages de plaies, Greffes de peau, des Tissus S/C;108;116;;;;0 à 20 ;0%-19%
GHT Sud Côte-d'Or;X11;Gynécologie, Sénologie (hors Obstétrique);125;452;;;;0 à 20 ;0%-16%
GHT Sud Côte-d'Or;C13;Stimulateurs, Défibrillateurs cardiaques;168;657;;;;0 à 20 ;0%-12%
GHT Sud Côte-d'Or;K12;Explorations nocturnes, séjours de moins de 2 jours;167;167;;;;0 à 20 ;0%-12%
GHT Sud Côte-d'Or;K06;Mise ne place d'accès vasculaire ;165;6;;;;0 à 20 ;0%-12%
GHT Sud Côte-d'Or;X10 ;Ophtalmologie ;162;517;;;;0 à 20 ;0%-12%
GHT Sud Côte-d'Or;C15;Chirurgie ORL, Stomato;204;165;;;;0 à 20 ;0%-10%
GHT Sud Côte-d'Or;X23;Chimithérapie (hors séances) ;229;546;;;;0 à 20 ;0%-9%
GHT Sud Côte-d'Or;X13;Appareil génital masculin ;218;1212;;;;0 à  20 ;0%-9%
GHT Sud Côte-d'Or;K10;"Aff. génito-urinaires avec Acte classant non opératoire 
et endoscopies";215;17;;;;0 à 20 ;0%-9%
GHT Sud Côte-d'Or;C20;Chirurgie de l'appareil génital masculin ;215;660;;;;0 à 20 ;0%-9%
GHT Sud Côte-d'Or;O02 ;Césarienne ;298;1939;;;;0 à 20 ;0%-7%
GHT Sud Côte-d'Or;C10 ;Arthroscopies, Biopsies ostéo-articulaires;283;57;;;;0 à 20 ;0%-7%
GHT Sud Côte-d'Or;C19;Chirurgie Urologique ;276;1296;;;;0 à 20 ;0%-7%
GHT Sud Côte-d'Or;C17;Chirurgie gynécologique ;346;501;;;;0 à 20 ;0%-6%
GHT Sud Côte-d'Or;K09;"ORL Stomato avec Acte classant non opératoire 
et endoscopies";333;11;;;;0 à 20 ;0%-6%
GHT Sud Côte-d'Or;O03;IVG;419;3;;;;0 à 20 ;0%-5%
GHT Sud Côte-d'Or;O04;Obstétrique autre ;696;1128;;;;0 à 20 ;0%-3%
GHT Sud Côte-d'Or;C16;Chirurgie Ophtalmologique et greffe de cornée;678;55;;;;0 à 20 ;0%-3%
GHT Sud Côte-d'Or;K02;"Endoscopies digestives et biliaires 
avec ou sans anesthésie";2062;102;;;;0 à 20 ;0%-1%
GHT Sud Côte-d'Or;N02;"Aff. médicales des nouveaunés, prématurés et 
de la période périnatale";2019;8510;;;;0 à 20 ;0%-1%
GHT Sud Côte-d'Or;O01;Accouchement par voie basse ;1701;6612;;;;0 à 20 ;0%-1%
GHT Sud Côte-d'Or;C18 ;Chirurgie su sein ;31;46;;;;0 à 10;0,322580645
GHT Sud Côte-d'Or;K13;Dialyse (hors séance) ;37;267;;;;0 à 10;0,27027027
GHT Sud Côte-d'Or;C22;"Chirurgie de la Thyroide, Parathyroide, 
du Tractus Thyréoglosse, endocrinologie";80;154;;;;0 à 10;0,125
GHT Sud Côte-d'Or;K04;Aff. Cardio-vasculaire avec Acte classant non opératoire, ou anesthésie;91;0;;;;0 à 10;0,10989011
GHT Sud Côte-d'Or;K03;"Neurologie médicale avec Acte classant 
non opératoire, ou anesthésie";265;0;;;;0 à 10;0,037735849
GHT Sud Côte-d'Or;S01;Dialyse ;9356;0;;;;NA;/
GHT Sud Côte-d'Or;S02;Chimiothérapie pour tumeurs;4277;0;;;;NA;/
GHT Sud Côte-d'Or;S03;Chimiothérapie pour aff. Non tumorale;1881;0;;;;NA;/
GHT Sud Côte-d'Or;S05;Transfusions;874;0;;;;NA;/
GHT DE LA NIEVRE ;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";610;5372;;;;275;0,450819672
GHT DE LA NIEVRE ;X03;Neurologie ;1430;9851;;;;217 à 237;15%-17%
GHT DE LA NIEVRE ;X08;Pneumologie ;2599;21304;;;;173 à 203 ;7%-8%
GHT DE LA NIEVRE ;X07;Affections Cardio-vasculaires ;2266;16989;;;;148 à 158;0,06972639
GHT DE LA NIEVRE ;X20;Psychiatrie ;893;5894;;;;99 à 129;11%-14%
GHT DE LA NIEVRE ;X06;Rhumatologie ;668;5081;;;;98 à 128;15%-19%
GHT DE LA NIEVRE ;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";342;1762;;;;78 à 88;23%-26%
GHT DE LA NIEVRE ;X02;Hépato-Gastro-Entérologie ;2632;14762;;;;76 à 116;3%-4%
GHT DE LA NIEVRE ;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";#REF!;#REF!;;;;61 à 71;8%-10%
GHT DE LA NIEVRE ;X15;"Diabète, Maladies métaboliques,
 Endocrinologie (hors complications)";988;7155;;;;56 à 106;6%-11%
GHT DE LA NIEVRE ;X21;Effets nocifs, alcool, toxicologie, allergies;875;2894;;;;56 à 66;6%-8%
GHT DE LA NIEVRE ;X18;"Suivi thérap. d'affections connues, Allergologie,
 Rééducation, Convalescence";255;1281;;;;46 à 56 ;18%-22%
GHT DE LA NIEVRE ;X14;"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID";774;5892;;;;38 à 68;5%-9%
GHT DE LA NIEVRE ;X12;Uro-Néphrologie médicale (hors Séances);855;5182;;;;29 à 69;3%-8%
GHT DE LA NIEVRE ;X16;Affections et traumatismes de la peau, gelures;681;4063;;;;24 à 54;4%-8%
GHT DE LA NIEVRE ;C14;Chirurgie vasculaire ;425;2883;;;;23;0,054117647
GHT DE LA NIEVRE ;K05 ;"Cathétérismes vasculaires diagnostiques
 et interventionnels";1624;6565;;;;23;0,014162562
GHT DE LA NIEVRE ;C06;"Chir. Digestive majeure : oesophage, 
estomac, grêle, côlon, rectum";107;1651;;;;19;0,177570093
GHT DE LA NIEVRE ;X19;Fièvre, Infection, Septicémie, VIH;253;1996;;;;13 à 33;5%-13%
GHT DE LA NIEVRE ;X24;"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux";802;2681;;;;0 à 60 ;0%-7%
GHT DE LA NIEVRE ;X22;Douleur et soins palliatifs ;316;4475;;;;0 à 40;0%-13%
GHT DE LA NIEVRE ;X13;Appareil génital masculin ;128;869;;;;0 à 30 ;0%-23%
GHT DE LA NIEVRE ;X04;Commotions cérébrales, Traumatismes crâniens;239;731;;;;0 à 30 ;0%-13%
GHT DE LA NIEVRE ;X09;ORL, Stomato;494;1404;;;;0 à 30 ;0%-6%
GHT DE LA NIEVRE ;C20;Chirurgie de l'appareil génital masculin ;51;170;;;;0 à 20 ;0,392156863
GHT DE LA NIEVRE ;X10 ;Ophtalmologie ;69;273;;;;0 à 20 ;0,289855072
GHT DE LA NIEVRE ;C17;Chirurgie gynécologique ;234;302;;;;0 à 20 ;0,085470085
GHT DE LA NIEVRE ;K09;"ORL Stomato avec Acte classant non opératoire 
et endoscopies";229;19;;;;0 à 20 ;0,087336245
GHT DE LA NIEVRE ;K12;Explorations nocturnes, séjours de moins de 2 jours;221;220;;;;0 à 20 ;0,090497738
GHT DE LA NIEVRE ;C15;Chirurgie ORL, Stomato;247;349;;;;0 à 20 ;0,08097166
GHT DE LA NIEVRE ;O03;IVG;242;7;;;;0 à 20 ;0,082644628
GHT DE LA NIEVRE ;C25;Chirurgie inter-spécialités;289;1096;;;;0 à 20 ;0,069204152
GHT DE LA NIEVRE ;C23;Parages de plaies, Greffes de peau, des Tissus S/C;416;70;;;;0 à 20 ;0,048076923
GHT DE LA NIEVRE ;C16;Chirurgie Ophtalmologique et greffe de cornée;498;50;;;;0 à 20 ;0,040160643
GHT DE LA NIEVRE ;O04;Obstétrique autre ;467;797;;;;0 à 20 ;0,042826552
GHT DE LA NIEVRE ;K02;"Endoscopies digestives et biliaires 
avec ou sans anesthésie";720;14;;;;0 à 20 ;0,027777778
GHT DE LA NIEVRE ;N03;Mort-nés, décès et transferts précoces de nouveau-nés;12;4;;;;0 à 10;0,833333333
GHT DE LA NIEVRE ;X17;Brûlures;14;33;;;;0 à 10;0,714285714
GHT DE LA NIEVRE ;K15;"Autres séj. sans acte, avec anesthésie, 
en ambulatoire (Aff. myéloP., peau, sein...)";20;0;;;;0 à 10;0,5
GHT DE LA NIEVRE ;C22;"Chirurgie de la Thyroide, Parathyroide, 
du Tractus Thyréoglosse, endocrinologie";21;117;;;;0 à 10;0,476190476
GHT DE LA NIEVRE ;K04;Aff. Cardio-vasculaire avec Acte classant non opératoire, ou anesthésie;27;0;;;;0 à 10;0,37037037
GHT DE LA NIEVRE ;C21;"Chir. pour Aff. des Org. Hématopoiétiques,
 Lymphomes, Leucémies, Tumeurs SID";27;163;;;;0 à 10;0,37037037
GHT DE LA NIEVRE ;C10 ;Arthroscopies, Biopsies ostéo-articulaires;56;70;;;;0 à 10;0,178571429
GHT DE LA NIEVRE ;K13;Dialyse (hors séance) ;60;1079;;;;0 à 10;0,166666667
GHT DE LA NIEVRE ;X11;Gynécologie, Sénologie (hors Obstétrique);79;494;;;;0 à 10;0,126582278
GHT DE LA NIEVRE ;C08;Chir. hépato-biliaire et pancréatique;76;248;;;;0 à 10;0,131578947
GHT DE LA NIEVRE ;C05;"Chir. majeure sur le thorax, l'app. respiratoire,
interventions sous thoracoscopie";99;1036;;;;0 à 10;0,101010101
GHT DE LA NIEVRE ;K10;"Aff. génito-urinaires avec Acte classant non opératoire 
et endoscopies";114;18;;;;0 à 10;0,087719298
GHT DE LA NIEVRE ;K06;Mise ne place d'accès vasculaire ;108;28;;;;0 à 10;0,092592593
GHT DE LA NIEVRE ;C19;Chirurgie Urologique ;130;726;;;;0 à 10;0,076923077
GHT DE LA NIEVRE ;X23;Chimithérapie (hors séances) ;167;663;;;;0 à 10;0,05988024
GHT DE LA NIEVRE ;C13;Stimulateurs, Défibrillateurs cardiaques;154;1012;;;;0 à 10;0,064935065
GHT DE LA NIEVRE ;O02 ;Césarienne ;229;1373;;;;0 à 10;0,043668122
GHT DE LA NIEVRE ;C07;"Chir. Viscérale autre : rate, grêle, colon,
 proctologie, hernies";321;1394;;;;0 à 10;0,031152648
GHT DE LA NIEVRE ;N02;"Aff. médicales des nouveaunés, prématurés et 
de la période périnatale";1127;5057;;;;0 à 10;0,008873114
GHT DE LA NIEVRE ;O01;Accouchement par voie basse ;878;3599;;;;0 à 10;0,011389522
GHT DE LA NIEVRE ;S01;Dialyse ;14766;0;;;;NA;/
GHT DE LA NIEVRE ;S02;Chimiothérapie pour tumeurs;3928;0;;;;NA;/
GHT DE LA NIEVRE ;S03;Chimiothérapie pour aff. Non tumorale;1775;0;;;;NA;/
GHT DE LA NIEVRE ;S05;Transfusions;865;0;;;;NA;/
GHT DE LA NIEVRE ;S06;Aphérèse ;17;0;;;;NA;/
GHT Nord-Yonne ;C09;"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule";451;3851;;;;247;0,54767184
GHT Nord-Yonne ;X08;Pneumologie ;1927;17306;;;;184;0,09548521
GHT Nord-Yonne ;X03;Neurologie ;992;8175;;;;124;0,125
GHT Nord-Yonne ;X07;Affections Cardio-vasculaires ;2029;11519;;;;124;0,061113849
GHT Nord-Yonne ;X06;Rhumatologie ;514;4627;;;;99;0,192607004
GHT Nord-Yonne ;X12;Uro-Néphrologie médicale (hors Séances);703;4997;;;;58;0,082503556
GHT Nord-Yonne ;X05;"
Traumatologie et ablation de matériel de l'appareil locomoteur";241;1198;;;;57;0,236514523
GHT Nord-Yonne ;X20;Psychiatrie ;607;2683;;;;51 à 61;8%-10%
GHT Nord-Yonne ;X02;Hépato-Gastro-Entérologie ;1768;9800;;;;50 à 60 ;0,033936652
GHT Nord-Yonne ;C11;"Chirurgies autres de l'appareil locomoteur, 
amputations";792;1963;;;;47;0,059343434
GHT Nord-Yonne ;X24;"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux";418;1691;;;;39;0,093301435
GHT Nord-Yonne ;X15;"Diabète, Maladies métaboliques,
 Endocrinologie (hors complications)";480;3707;;;;38;0,079166667
GHT Nord-Yonne ;X16;Affections et traumatismes de la peau, gelures;367;2430;;;;29 à 39 ;8%-11%
GHT Nord-Yonne ;X14;"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID";480;3386;;;;23 à 33;5%-7%
GHT Nord-Yonne ;C02;Chirhurhie de rachis, Neurochirurgie ;22;151;;;;17;0,772727273
GHT Nord-Yonne ;C06;"Chir. Digestive majeure : oesophage, 
estomac, grêle, côlon, rectum";90;1175;;;;15;0,166666667
GHT Nord-Yonne ;X19;Fièvre, Infection, Septicémie, VIH;200;1411;;;;11 à 21 ;6%-11%
GHT Nord-Yonne ;X10 ;Ophtalmologie ;45;299;;;;0 à 20 ;0,444444444
GHT Nord-Yonne ;X04;Commotions cérébrales, Traumatismes crâniens;104;714;;;;0 à 20 ;0,192307692
GHT Nord-Yonne ;X13;Appareil génital masculin ;126;757;;;;0 à 20 ;0,158730159
GHT Nord-Yonne ;X18;"Suivi thérap. d'affections connues, Allergologie,
 Rééducation, Convalescence";199;610;;;;0 à 20 ;0,100502513
GHT Nord-Yonne ;X09;ORL, Stomato;194;650;;;;0 à 20 ;0,103092784
GHT Nord-Yonne ;O03;IVG;219;1;;;;0 à 20 ;0,091324201
GHT Nord-Yonne ;X21;Effets nocifs, alcool, toxicologie, allergies;607;1626;;;;0 à 20 ;0,032948929
GHT Nord-Yonne ;X22;Douleur et soins palliatifs ;578;3758;;;;0 à 20 ;0,034602076
GHT Nord-Yonne ;K13;Dialyse (hors séance) ;11;143;;;;0 à 10;0,909090909
GHT Nord-Yonne ;K08;"Traumatologie avec acte classant non opératoire 
ou anesthésie";15;6;;;;0 à 10;0,666666667
GHT Nord-Yonne ;C18 ;Chirurgie su sein ;24;17;;;;0 à 10;0,416666667
GHT Nord-Yonne ;N03;Mort-nés, décès et transferts précoces de nouveau-nés;25;10;;;;0 à 10;0,4
GHT Nord-Yonne ;K15;"Autres séj. sans acte, avec anesthésie,
 en ambulatoire (Aff. myéloP., peau, sein...)";29;0;;;;0 à 10;0,344827586
GHT Nord-Yonne ;C23;Parages de plaies, Greffes de peau, des Tissus S/C;31;4;;;;0 à 10;0,322580645
GHT Nord-Yonne ;C22;"Chirurgie de la Thyroide, Parathyroide, 
du Tractus Thyréoglosse, endocrinologie";32;96;;;;0 à 10;0,3125
GHT Nord-Yonne ;K09;"ORL Stomato avec Acte classant non opératoire 
et endoscopies";38;5;;;;0 à 10;0,263157895
GHT Nord-Yonne ;C14;Chirurgie vasculaire ;62;351;;;;0 à 10;0,161290323
GHT Nord-Yonne ;X11;Gynécologie, Sénologie (hors Obstétrique);77;280;;;;0 à 10;0,12987013
GHT Nord-Yonne ;C25;Chirurgie inter-spécialités;99;464;;;;0 à 10;0,101010101
GHT Nord-Yonne ;K10;"Aff. génito-urinaires avec Acte classant non opératoire 
et endoscopies";110;7;;;;0 à 10;0,090909091
GHT Nord-Yonne ;K06;Mise ne place d'accès vasculaire ;107;2;;;;0 à 10;0,093457944
GHT Nord-Yonne ;C08;Chir. hépato-biliaire et pancréatique;176;378;;;;0 à 10;0,056818182
GHT Nord-Yonne ;K05 ;"Cathétérismes vasculaires diagnostiques
 et interventionnels";171;249;;;;0 à 10;0,058479532
GHT Nord-Yonne ;C10 ;Arthroscopies, Biopsies ostéo-articulaires;166;107;;;;0 à 10;0,060240964
GHT Nord-Yonne ;X23;Chimithérapie (hors séances) ;195;656;;;;0 à 10;0,051282051
GHT Nord-Yonne ;C20;Chirurgie de l'appareil génital masculin ;278;642;;;;0 à 10;0,035971223
GHT Nord-Yonne ;O02 ;Césarienne ;259;1525;;;;0 à 10;0,038610039
GHT Nord-Yonne ;C17;Chirurgie gynécologique ;333;376;;;;0 à 10;0,03003003
GHT Nord-Yonne ;K02;"Endoscopies digestives et biliaires 
avec ou sans anesthésie";309;6;;;;0 à 10;0,03236246
GHT Nord-Yonne ;C19;Chirurgie Urologique ;488;1706;;;;0 à 10;0,020491803
GHT Nord-Yonne ;C07;"Chir. Viscérale autre : rate, grêle, colon,
 proctologie, hernies";468;1632;;;;0 à 10;0,021367521
GHT Nord-Yonne ;O04;Obstétrique autre ;455;838;;;;0 à 10;0,021978022
GHT Nord-Yonne ;N02;"Aff. médicales des nouveaunés, prématurés et 
de la période périnatale";1199;4859;;;;0 à 10;0,008340284
GHT Nord-Yonne ;O01;Accouchement par voie basse ;924;3574;;;;0 à 10;0,010822511
GHT Nord-Yonne ;S01;Dialyse ;7278;0;;;;NA;/
GHT Nord-Yonne ;S02;Chimiothérapie pour tumeurs;3537;0;;;;NA;/
GHT Nord-Yonne ;S03;Chimiothérapie pour aff. Non tumorale;658;0;;;;NA;/
GHT Nord-Yonne ;S05;Transfusions;454;0;;;;NA;/
